CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade existenteQuantidade SUSQuantidade Não SUS por Município
Leitos complementares: UTI adulto II COVID-19, UTI pediátrica II COVID-19
Período:Jul/2020
"Município";"Quantidade_existente";"Quantidade_SUS";"Quantidade_Não_SUS"
"351280 Cosmópolis";3;-;3
"351300 Cotia";20;20;-
"351340 Cruzeiro";10;-;10
"351350 Cubatão";26;10;16
"351380 Diadema";20;20;-
"351500 Embu das Artes";5;5;-
"351518 Espírito Santo do Pinhal";10;-;10
"351550 Fernandópolis";6;6;-
"351570 Ferraz de Vasconcelos";10;-;10
"351620 Franca";22;-;22
"351640 Franco da Rocha";39;-;39
"351830 Guararema";2;-;2
"351840 Guaratinguetá";18;-;18
"351870 Guarujá";30;10;20
"351880 Guarulhos";125;83;42
"351907 Hortolândia";10;10;-
"352044 Ilha Solteira";10;-;10
"352040 Ilhabela";6;-;6
"352050 Indaiatuba";24;-;24
"352210 Itanhaém";20;-;20
"352220 Itapecerica da Serra";17;9;8
"352230 Itapetininga";6;-;6
"352250 Itapevi";15;15;-
"352260 Itapira";20;-;20
"352270 Itápolis";5;-;5
"352310 Itaquaquecetuba";22;22;-
"352390 Itu";6;-;6
"352400 Itupeva";9;-;9
"352410 Ituverava";13;-;13
"352430 Jaboticabal";10;-;10
"352440 Jacareí";17;-;17
"352450 Jaci";10;-;10
"352470 Jaguariúna";18;-;18
"352480 Jales";9;-;9
"352530 Jaú";10;10;-
"352590 Jundiaí";46;46;-
"352640 Laranjal Paulista";10;-;10
"352670 Leme";10;-;10
"352680 Lençóis Paulista";10;-;10
"352690 Limeira";35;-;35
"352710 Lins";2;-;2
"352720 Lorena";13;-;13
"352730 Louveira";4;-;4
"352850 Mairiporã";10;-;10
"352900 Marília";62;-;62
"352930 Matão";8;-;8
"353010 Mirandópolis";5;-;5
"353050 Mococa";10;-;10
"353060 Mogi das Cruzes";56;56;-
"353070 Mogi Guaçu";20;10;10
"353080 Mogi Mirim";10;-;10
"353130 Monte Alto";10;8;2
"353350 Novo Horizonte";9;-;9
"353390 Olímpia";10;-;10
"353440 Osasco";62;60;2
"353460 Osvaldo Cruz";9;-;9
"353470 Ourinhos";11;-;11
"353550 Paraguaçu Paulista";5;-;5
"353580 Paranapanema";7;-;7
"353650 Paulínia";10;-;10
"353670 Pederneiras";8;8;-
"353710 Pedreira";10;-;10
"353730 Penápolis";20;-;20
"353780 Piedade";5;-;5
"353800 Pindamonhangaba";15;-;15
"353870 Piracicaba";63;31;32
"354070 Porto Ferreira";5;-;5
"354100 Praia Grande";30;20;10
"354140 Presidente Prudente";30;-;30
"354160 Promissão";2;-;2
"354220 Rancharia";5;-;5
"354260 Registro";25;10;15
"354340 Ribeirão Preto";170;98;72
"354390 Rio Claro";18;-;18
"354400 Rio das Pedras";5;-;5
"354520 Salto";4;-;4
"354580 Santa Bárbara d'Oeste";15;-;15
"354640 Santa Cruz do Rio Pardo";5;5;-
"354660 Santa Fé do Sul";5;-;5
"354680 Santa Isabel";1;-;1
"354730 Santana de Parnaíba";20;-;20
"354780 Santo André";54;20;34
"354850 Santos";174;86;88
"354870 São Bernardo do Campo";119;20;99
"354880 São Caetano do Sul";44;40;4
"354890 São Carlos";20;-;20
"354910 São João da Boa Vista";10;-;10
"354940 São Joaquim da Barra";5;-;5
"354980 São José do Rio Preto";129;115;14
"354990 São José dos Campos";26;16;10
"355010 São Manuel";5;-;5
"355030 São Paulo";2230;1100;1130
"355040 São Pedro";10;5;5
"355060 São Roque";10;-;10
"355070 São Sebastião";22;-;22
"355100 São Vicente";34;19;15
"355150 Serrana";13;-;13
"355170 Sertãozinho";11;-;11
"355210 Socorro";7;-;7
"355220 Sorocaba";50;30;20
"355240 Sumaré";24;24;-
"355250 Suzano";18;-;18
"355280 Taboão da Serra";10;10;-
"355370 Taquaritinga";5;-;5
"355400 Tatuí";10;5;5
"355410 Taubaté";34;10;24
"355500 Tupã";15;-;15
"355540 Ubatuba";10;10;-
"355620 Valinhos";17;8;9
"355700 Votorantim";7;-;7
"355710 Votuporanga";16;-;16
"410140 Apucarana";19;11;8
"410150 Arapongas";20;20;-
"410180 Araucária";7;-;7
"410200 Assis Chateaubriand";14;14;-
"410240 Bandeirantes";8;-;8
"410400 Campina Grande do Sul";20;-;20
"410430 Campo Mourão";21;9;12
"410480 Cascavel";46;20;26
"410540 Chopinzinho";10;-;10
"410550 Cianorte";8;6;2
"410590 Colorado";10;10;-
"410690 Curitiba";347;333;14
"410830 Foz do Iguaçu";30;17;13
"410840 Francisco Beltrão";10;10;-
"410860 Goioerê";10;10;-
"410940 Guarapuava";30;10;20
"411070 Irati";4;-;4
"411150 Ivaiporã";4;-;4
"411330 Laranjeiras do Sul";10;-;10
"411370 Londrina";80;36;44
"411520 Maringá";59;49;10
"411760 Palmas";2;-;2
"411820 Paranaguá";20;-;20
"411840 Paranavaí";10;-;10
"411850 Pato Branco";12;7;5
"411990 Ponta Grossa";30;10;20
"412410 Santo Antônio da Platina";10;-;10
"412550 São José dos Pinhais";10;10;-
"412625 Sarandi";12;12;-
"412710 Telêmaco Borba";14;-;14
"412770 Toledo";16;16;-
"412810 Umuarama";30;10;20
"412820 União da Vitória";6;-;6
"420140 Araranguá";10;10;-
"420200 Balneário Camboriú";26;20;6
"420240 Blumenau";76;31;45
"420290 Brusque";22;10;12
"420300 Caçador";10;10;-
"420380 Canoinhas";10;5;5
"420420 Chapecó";31;30;1
"420430 Concórdia";16;16;-
"420460 Criciúma";39;35;4
"420480 Curitibanos";9;6;3
"420540 Florianópolis";101;58;43
"420590 Gaspar";10;10;-
"420690 Ibirama";5;-;5
"420700 Içara";10;-;10
"420750 Indaial";10;10;-
"420820 Itajaí";76;56;20
"420890 Jaraguá do Sul";20;-;20
"420900 Joaçaba";10;10;-
"420910 Joinville";140;67;73
"420930 Lages";44;19;25
"421010 Mafra";14;14;-
"421050 Maravilha";1;-;1
"421150 Nova Trento";10;-;10
"421360 Porto União";2;-;2
"421480 Rio do Sul";10;-;10
"421580 São Bento do Sul";3;-;3
"421660 São José";19;19;-
"421720 São Miguel do Oeste";18;18;-
"421800 Tijucas";2;-;2
"421820 Timbó";55;29;26
"421870 Tubarão";25;20;5
"421930 Videira";10;-;10
"421950 Xanxerê";20;20;-
"430040 Alegrete";10;7;3
"430160 Bagé";14;14;-
"430210 Bento Gonçalves";10;10;-
"430300 Cachoeira do Sul";8;8;-
"430310 Cachoeirinha";8;-;8
"430450 Canguçu";10;-;10
"430460 Canoas";30;20;10
"430463 Capão da Canoa";1;-;1
"430470 Carazinho";9;6;3
"430510 Caxias do Sul";50;15;35
"430535 Charqueadas";10;-;10
"430610 Cruz Alta";12;10;2
"430660 Dom Pedrito";10;10;-
"430680 Encantado";5;5;-
"430700 Erechim";23;10;13
"430750 Espumoso";5;5;-
"430770 Esteio";8;6;2
"430780 Estrela";10;10;-
"430790 Farroupilha";8;5;3
"430800 Faxinal do Soturno";10;10;-
"430860 Garibaldi";10;10;-
"430910 Gramado";9;8;1
"430920 Gravataí";10;-;10
"430930 Guaíba";16;-;16
"431020 Ijuí";10;-;10
"431140 Lajeado";10;10;-
"431340 Novo Hamburgo";10;-;10
"431350 Osório";10;10;-
"431405 Parobé";10;-;10
"431410 Passo Fundo";53;43;10
"431440 Pelotas";30;20;10
"431490 Porto Alegre";263;233;30
"431560 Rio Grande";10;10;-
"431640 Rosário do Sul";5;-;5
"431710 Sant'Ana do Livramento";10;-;10
"431680 Santa Cruz do Sul";25;25;-
"431690 Santa Maria";25;20;5
"431720 Santa Rosa";25;15;10
"431750 Santo Ângelo";14;14;-
"431800 São Borja";2;-;2
"431830 São Gabriel";5;5;-
"431840 São Jerônimo";10;10;-
"431870 São Leopoldo";17;10;7
"431950 São Sebastião do Caí";5;5;-
"431990 Sapiranga";5;5;-
"432000 Sapucaia do Sul";7;7;-
"432080 Soledade";10;6;4
"432130 Taquari";10;10;-
"432140 Tenente Portela";5;5;-
"432150 Torres";5;5;-
"432160 Tramandaí";6;6;-
"432240 Uruguaiana";8;8;-
"432250 Vacaria";8;8;-
"432260 Venâncio Aires";8;8;-
"432300 Viamão";10;10;-
"500100 Aparecida do Taboado";5;-;5
"500190 Bataguassu";5;-;5
"500270 Campo Grande";104;57;47
"500295 Chapadão do Sul";5;-;5
"500320 Corumbá";10;10;-
"500325 Costa Rica";10;7;3
"500330 Coxim";5;-;5
"500370 Dourados";33;30;3
"500570 Naviraí";5;-;5
"500620 Nova Andradina";8;8;-
"500630 Paranaíba";10;10;-
"500660 Ponta Porã";20;10;10
"500790 Sidrolândia";5;5;-
"500830 Três Lagoas";30;10;20
"510020 Água Boa";10;-;10
"510025 Alta Floresta";10;-;10
"510180 Barra do Garças";10;10;-
"510250 Cáceres";10;5;5
"510267 Campo Verde";10;-;10
"510340 Cuiabá";208;98;110
"510515 Juína";10;6;4
"510622 Nova Mutum";20;-;20
"510675 Pontes e Lacerda";10;-;10
"510704 Primavera do Leste";10;-;10
"510760 Rondonópolis";25;20;5
"510790 Sinop";29;20;9
"510792 Sorriso";2;-;2
"510795 Tangará da Serra";19;-;19
"510840 Várzea Grande";40;40;-
"520025 Águas Lindas de Goiás";10;-;10
"520110 Anápolis";33;15;18
"520140 Aparecida de Goiânia";68;40;28
"520450 Caldas Novas";3;-;3
"520510 Catalão";39;12;27
"520540 Ceres";10;-;10
"520800 Formosa";10;10;-
"520870 Goiânia";296;98;198
"520890 Goiás";5;-;5
"521150 Itumbiara";19;-;19
"521190 Jataí";10;10;-
"521250 Luziânia";10;10;-
"521800 Porangatu";24;15;9
"521880 Rio Verde";20;-;20
"522010 São Luís de Montes Belos";11;11;-
"522045 Senador Canedo";1;-;1
"522140 Trindade";6;6;-
"530010 Brasília";436;165;271
"Total";21066;10428;10638
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
